data_hora,medicamento,localizacao,farmacia,titulo,preco,preco_numero,categoria_preco,link,relevante,preco_maximo,alerta
2026-06-08 10:57:36,losartana,Zumbi Manaus,Drogasil,"Losartana + Hidroclorotiazida 50/12,5mg 30 comprimidos Sandoz Genérico","R$ 17,09",17.09,baixo,https://www.drogasil.com.br/losartana-potassica-50mg-hidroclorotiazida-12-5mg-sandoz-genericos-com-30-comprimidos-revestidos.html?origin=search,1.0,,
2026-06-08 10:57:36,losartana,Zumbi Manaus,Drogasil,Losartana Potássica 50mg 30 comprimidos EMS Genérico,"R$ 7,82",7.82,baixo,https://www.drogasil.com.br/losartana-potassica-50-mg-ems-generico-30-comprimidos.html?origin=search,1.0,,
2026-06-08 10:57:36,losartana,Zumbi Manaus,Drogasil,Losartana Potássica 100mg 30 comprimidos Medley Genérico,"R$ 24,48",24.48,medio,https://www.drogasil.com.br/losartana-potassica-100mg-medley-genericos-30-comprimidos-revestidos.html?origin=search,1.0,,
2026-06-08 10:57:36,losartana,Zumbi Manaus,Drogasil,Aradois Losartana Potássica 50mg 30 comprimidos,"R$ 11,99",11.99,baixo,https://www.drogasil.com.br/aradois-50-mg-30-comprimidos.html?origin=search,1.0,,
2026-06-08 10:57:36,losartana,Zumbi Manaus,Drogasil,"Losartana Potássica 50mg + Hidroclorotiazida 12,5mg 30 Comprimidos Biolab Genérico","R$ 20,59",20.59,medio,https://www.drogasil.com.br/losartana-hidroclorotiazida-50-12-5mg-biolab-genericos-30-comprimidos.html?origin=search,1.0,,
2026-06-08 10:57:36,losartana,Zumbi Manaus,Drogasil,Corus Losartana Potássica 50mg 30 comprimidos,"R$ 12,89",12.89,baixo,https://www.drogasil.com.br/corus-50-mg-30-comprimidos-revestidos.html?origin=search,1.0,,
2026-06-08 10:58:12,dorflex,Zumbi Manaus,Drogasil,Dorflex Analgésico e Relaxante Muscular 50 comprimidos,"R$ 29,79",29.79,medio,https://www.drogasil.com.br/dorflex-analgesico-com-50-comprimidos.html?origin=search,1.0,,
2026-06-08 10:58:12,dorflex,Zumbi Manaus,Drogasil,Dorflex,Preço não encontrado,,indefinido,https://www.drogasil.com.br/dorflex-analgesico-com-50-comprimidos.html?origin=search,1.0,,
2026-06-08 10:58:12,dorflex,Zumbi Manaus,Drogasil,Dorflex MAX Analgésico e Relaxante Muscular 16 comprimidos,"R$ 31,89",31.89,medio,https://www.drogasil.com.br/dorflex-max-16-comprimidos.html?origin=search,0.0,,
2026-06-08 10:58:12,dorflex,Zumbi Manaus,Drogasil,Dorflex,Preço não encontrado,,indefinido,https://www.drogasil.com.br/dorflex-max-16-comprimidos.html?origin=search,1.0,,
