data_hora,medicamento,localizacao,farmacia,titulo,preco,preco_numero,categoria_preco,link,relevante,preco_maximo,alerta
2026-06-08 10:23:30,loratadina,compensa manaus,drogasil,loratadina 10mg 12 comprimidos neo química genérico,"R$ 8,99",8.99,baixo,https://www.drogasil.com.br/loratadina-10mg-neo-quimica-generico-com-12-comprimidos.html?origin=search,1,,
2026-06-08 10:23:30,loratadina,compensa manaus,drogasil,loratadina,Preço não encontrado,,indefinido,https://www.drogasil.com.br/loratadina-10mg-neo-quimica-generico-com-12-comprimidos.html?origin=search,0,,
2026-06-08 10:23:30,loratadina,compensa manaus,drogasil,loratamed loratadina 10mg 12 comprimidos,"R$ 5,45",5.45,baixo,https://www.drogasil.com.br/loratamed-10mg-12-comprimidos.html?origin=search,1,,
2026-06-08 10:23:30,loratadina,compensa manaus,drogasil,loratamed loratadina 1mg/ml xarope 100ml,"R$ 22,59",22.59,medio,https://www.drogasil.com.br/loratamed-1mg-xarope-100ml.html?origin=search,0,,
2026-06-08 10:24:13,loratadina,aleixo manaus,drogasil,loratamed loratadina 1mg/ml xarope 100ml,"R$ 22,59",22.59,medio,https://www.drogasil.com.br/loratamed-1mg-xarope-100ml.html?origin=search,0,,
2026-06-08 10:24:53,loratadina,tarumã manaus,drogasil,loratamed loratadina 1mg/ml xarope 100ml,"R$ 22,59",22.59,medio,https://www.drogasil.com.br/loratamed-1mg-xarope-100ml.html?origin=search,0,,
2026-06-08 10:24:53,loratadina,tarumã manaus,drogasil,loratadina 1mg/ml xarope 100ml cimed genérico,"R$ 21,40",21.4,medio,https://www.drogasil.com.br/loratadina-100mg-cimed-genericos-xarope-com-100ml.html?origin=search,0,,
2026-06-08 10:24:53,loratadina,tarumã manaus,drogasil,loratadina,Preço não encontrado,,indefinido,https://www.drogasil.com.br/loratadina-100mg-cimed-genericos-xarope-com-100ml.html?origin=search,0,,
2026-06-08 10:24:53,loratadina,tarumã manaus,drogasil,histadin loratadina 10mg 12 comprimidos,"R$ 18,79",18.79,baixo,https://www.drogasil.com.br/histadin-10mg-com-12-comprimidos.html?origin=search,0,,
2026-06-08 10:24:53,loratadina,tarumã manaus,drogasil,neo loratadin loratadina 10mg 12 comprimidos,"R$ 18,79",18.79,baixo,https://www.drogasil.com.br/neo-loratadin-10mg-12-comprimidos.html?origin=search,0,,
2026-06-08 10:25:27,loratadina,ponta negra manaus,drogasil,loratadina 10mg 12 comprimidos cimed genérico,"R$ 8,99",8.99,baixo,https://www.drogasil.com.br/loratadina-10mg-12-comprimidos.html?origin=search,1,,
2026-06-08 10:25:27,loratadina,ponta negra manaus,drogasil,loratadina,Preço não encontrado,,indefinido,https://www.drogasil.com.br/loratadina-10mg-12-comprimidos.html?origin=search,0,,
2026-06-08 10:25:27,loratadina,ponta negra manaus,drogasil,loratadina 10mg 12 comprimidos neo química genérico,"R$ 8,99",8.99,baixo,https://www.drogasil.com.br/loratadina-10mg-neo-quimica-generico-com-12-comprimidos.html?origin=search,1,,
2026-06-08 10:25:27,loratadina,ponta negra manaus,drogasil,loratadina,Preço não encontrado,,indefinido,https://www.drogasil.com.br/loratadina-10mg-neo-quimica-generico-com-12-comprimidos.html?origin=search,0,,
2026-06-08 10:25:27,loratadina,ponta negra manaus,drogasil,loratamed loratadina 10mg 12 comprimidos,"R$ 5,45",5.45,baixo,https://www.drogasil.com.br/loratamed-10mg-12-comprimidos.html?origin=search,1,,
2026-06-08 10:25:27,loratadina,ponta negra manaus,drogasil,loratamed loratadina 1mg/ml xarope 100ml,"R$ 22,59",22.59,medio,https://www.drogasil.com.br/loratamed-1mg-xarope-100ml.html?origin=search,0,,
2026-06-08 10:26:13,loratadina,parque 10 manaus,drogasil,loratadina 10mg 12 comprimidos cimed genérico,"R$ 8,99",8.99,baixo,https://www.drogasil.com.br/loratadina-10mg-12-comprimidos.html?origin=search,1,,
2026-06-08 10:26:13,loratadina,parque 10 manaus,drogasil,loratadina,Preço não encontrado,,indefinido,https://www.drogasil.com.br/loratadina-10mg-12-comprimidos.html?origin=search,0,,
2026-06-08 10:26:13,loratadina,parque 10 manaus,drogasil,loratadina 10mg 12 comprimidos neo química genérico,"R$ 8,99",8.99,baixo,https://www.drogasil.com.br/loratadina-10mg-neo-quimica-generico-com-12-comprimidos.html?origin=search,1,,
2026-06-08 10:26:13,loratadina,parque 10 manaus,drogasil,loratadina,Preço não encontrado,,indefinido,https://www.drogasil.com.br/loratadina-10mg-neo-quimica-generico-com-12-comprimidos.html?origin=search,0,,
2026-06-08 10:26:13,loratadina,parque 10 manaus,drogasil,loratamed loratadina 10mg 12 comprimidos,"R$ 5,45",5.45,baixo,https://www.drogasil.com.br/loratamed-10mg-12-comprimidos.html?origin=search,1,,
2026-06-08 10:26:13,loratadina,parque 10 manaus,drogasil,loratamed loratadina 1mg/ml xarope 100ml,"R$ 22,59",22.59,medio,https://www.drogasil.com.br/loratamed-1mg-xarope-100ml.html?origin=search,0,,
2026-06-08 10:26:13,loratadina,parque 10 manaus,drogasil,loratadina 1mg/ml xarope 100ml cimed genérico,Preço não encontrado,,indefinido,https://www.drogasil.com.br/loratadina-100mg-cimed-genericos-xarope-com-100ml.html?origin=search,0,,
2026-06-08 10:26:13,loratadina,parque 10 manaus,drogasil,loratadina,Preço não encontrado,,indefinido,https://www.drogasil.com.br/loratadina-100mg-cimed-genericos-xarope-com-100ml.html?origin=search,0,,
2026-06-08 10:26:13,loratadina,parque 10 manaus,drogasil,histadin loratadina 10mg 12 comprimidos,Preço não encontrado,,indefinido,https://www.drogasil.com.br/histadin-10mg-com-12-comprimidos.html?origin=search,0,,
2026-06-08 10:26:13,loratadina,parque 10 manaus,drogasil,neo loratadin loratadina 10mg 12 comprimidos,Preço não encontrado,,indefinido,https://www.drogasil.com.br/neo-loratadin-10mg-12-comprimidos.html?origin=search,0,,
2026-06-08 10:26:56,ibuprofeno,centro manaus,drogasil,advil mulher ibuprofeno 400mg 10 cápsulas,"R$ 30,19",30.19,medio,https://www.drogasil.com.br/advil-mulher-400mg-10-capsulas-gelatinosas-moles.html?origin=search,0,,
2026-06-08 10:26:56,ibuprofeno,centro manaus,drogasil,ibuprofeno 400mg 10 cápsulas medley genérico,"R$ 9,99",9.99,baixo,https://www.drogasil.com.br/ibuprofeno-400mg-10-capsulas-liquidas.html?origin=search,1,,
2026-06-08 10:26:56,ibuprofeno,centro manaus,drogasil,ibuprofeno,Preço não encontrado,,indefinido,https://www.drogasil.com.br/ibuprofeno-400mg-10-capsulas-liquidas.html?origin=search,0,,
2026-06-08 10:26:56,ibuprofeno,centro manaus,drogasil,ibuprofeno 100mg/ml cimed suspensão oral sabor tutti-frutti 20ml,"R$ 9,99",9.99,baixo,https://www.drogasil.com.br/ibuprofeno-100-mg-ml-susp-oral-20ml.html?origin=search,1,,
2026-06-08 10:26:56,ibuprofeno,centro manaus,drogasil,ibuprofeno,Preço não encontrado,,indefinido,https://www.drogasil.com.br/ibuprofeno-100-mg-ml-susp-oral-20ml.html?origin=search,0,,
2026-06-08 10:26:56,ibuprofeno,centro manaus,drogasil,ibuprofeno 100mg/ml suspensão oral sabor frutas 20ml medley genérico,"R$ 9,92",9.92,baixo,https://www.drogasil.com.br/ibuprofeno-gotas-100mg-medley-genericos-20ml.html?origin=search,1,,
2026-06-08 10:27:39,ibuprofeno,adrianópolis manaus,drogasil,ibuprofeno 600mg 20 comprimidos farmaco prati genérico,"R$ 14,09",14.09,baixo,https://www.drogasil.com.br/ibuprofeno-600mg-farmaco-generico-com-20-comprimidos-revestidos.html?origin=search,1,,
2026-06-08 10:27:39,ibuprofeno,adrianópolis manaus,drogasil,ibuprofeno 400mg 10 cápsulas medley genérico,"R$ 9,99",9.99,baixo,https://www.drogasil.com.br/ibuprofeno-400mg-10-capsulas-liquidas.html?origin=search,1,,
2026-06-08 10:27:39,ibuprofeno,adrianópolis manaus,drogasil,ibuprofeno,Preço não encontrado,,indefinido,https://www.drogasil.com.br/ibuprofeno-400mg-10-capsulas-liquidas.html?origin=search,0,,
